Tipo de alojamiento	Total Nacional	Comunidades y Ciudades Autónomas	Periodo	Total
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M08	3,68
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M07	3,72
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M06	3,40
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M05	2,69
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M04	2,82
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M03	2,77
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M02	1,74
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M01	1,90
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M12	2,08
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M11	1,69
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2015M10	1,99
